,xmin,ymin,xmax,ymax,label,score
0,857,2560,1200,2918,Tree,0.5620729923
1,584,2829,876,3116,Tree,0.5076936483
2,1599,4142,2010,4541,Tree,0.503475368
3,4138,4183,4406,4445,Tree,0.4676228762
4,3089,3779,3396,4093,Tree,0.446588695
5,998,2936,1277,3216,Tree,0.4437579215
6,1300,353,1637,704,Tree,0.4356460571
7,2,2621,183,2818,Tree,0.4273546636
8,398,2984,594,3181,Tree,0.4044772685
9,2677,3837,3042,4195,Tree,0.4032966793
10,2729,3517,3050,3814,Tree,0.3949572742
11,491,3265,748,3532,Tree,0.3927946687
12,1041,1871,1273,2095,Tree,0.387468785
13,924,251,1274,601,Tree,0.3799240589
14,3362,3984,3633,4261,Tree,0.3771065176
15,1499,746,1716,968,Tree,0.3720522821
16,3234,21,3818,566,Tree,0.3663163483
17,2801,2658,3146,3004,Tree,0.3656389117
18,242,3390,503,3653,Tree,0.3652601838
19,0,3593,117,3866,Tree,0.3613913655
20,1256,3627,1610,4025,Tree,0.3573015034
21,2403,2529,2709,2828,Tree,0.3536017537
22,1912,527,2181,818,Tree,0.3515660465
23,1285,2461,1515,2709,Tree,0.3477374315
24,707,2073,937,2306,Tree,0.3463883996
25,126,2056,692,2627,Tree,0.3414934278
26,1345,1662,1582,1898,Tree,0.3361822963
27,16,69,379,463,Tree,0.3318856955
28,1353,1997,1638,2297,Tree,0.3301911652
29,1141,2,1487,260,Tree,0.3301251829
30,1273,2723,1538,3003,Tree,0.3234065473
31,1014,4100,1364,4485,Tree,0.3213032186
32,3796,3947,4061,4217,Tree,0.3195933998
33,2360,21,2743,338,Tree,0.3187326193
34,1343,1298,1636,1585,Tree,0.3139626086
35,5865,211,6426,801,Tree,0.3137538731
36,885,651,1240,980,Tree,0.3117228448
37,796,1023,1047,1262,Tree,0.3057501018
38,18,2984,340,3359,Tree,0.3012105227
39,1728,204,2134,568,Tree,0.2942077816
40,2296,2826,2544,3080,Tree,0.2936650217
41,684,822,868,1018,Tree,0.2912261188
42,2432,3011,2809,3401,Tree,0.2852685452
43,5249,111,5838,721,Tree,0.2850206792
44,5472,1903,5783,2177,Tree,0.280305177
45,2123,3397,2573,3864,Tree,0.2802656293
46,643,3560,961,3931,Tree,0.2794788778
47,2905,4211,3310,4541,Tree,0.2776350379
48,200,1534,485,1826,Tree,0.2775550485
49,1799,0,2184,201,Tree,0.2769929469
50,4724,4442,5009,4547,Tree,0.2757266164
51,719,3,1113,269,Tree,0.2732886374
52,3015,2948,3374,3295,Tree,0.2728079557
53,4313,1310,4775,1724,Tree,0.2725635171
54,1673,1414,1904,1659,Tree,0.2680595815
55,479,223,776,515,Tree,0.2674324512
56,1651,1965,1888,2206,Tree,0.2669610679
57,2897,339,3217,638,Tree,0.2659625113
58,26,3860,616,4492,Tree,0.2646124959
59,2303,3911,2589,4209,Tree,0.2624882162
60,2304,484,2589,775,Tree,0.2622200251
61,56,475,483,918,Tree,0.2586251795
62,3774,3,4299,375,Tree,0.2535744011
63,2461,4143,2854,4502,Tree,0.2486553192
64,5723,3853,6186,4328,Tree,0.24181512
65,1580,2549,1959,2939,Tree,0.2408343703
66,1001,3261,1351,3596,Tree,0.2390044779
67,5886,0,6442,252,Tree,0.2329771817
68,4598,1640,5169,2192,Tree,0.2323993295
69,3541,3673,3887,4023,Tree,0.2310774326
70,3567,529,3929,881,Tree,0.2180192918
71,3810,1641,4303,2133,Tree,0.2175477445
72,955,3621,1275,3973,Tree,0.2160895616
73,5119,835,5753,1468,Tree,0.1542568058
74,4022,2104,4698,2767,Tree,0.1205511689
75,5159,2562,5780,3182,Tree,0.1149277538
76,5865,2577,6454,3219,Tree,0.108189255
77,4226,169,4835,913,Tree,0.1079944745
78,5899,1156,6454,1795,Tree,0.1047534421
79,2962,988,3587,1608,Tree,0.1038423106
